product_category_name,year,month,order_count,total_sales
electronics,2018,4,84,10222.25999999999
electronics,2018,5,212,20372.709999999937
electronics,2018,6,113,13736.98999999997
electronics,2018,7,127,8449.610000000006
electronics,2018,8,26,6193.4400000000005
fashio_female_clothing,2017,2,1,159.9
fashio_female_clothing,2017,3,1,42.89
fashio_female_clothing,2017,6,1,395.6
fashion_bags_accessories,2016,10,2,397.0
fashion_bags_accessories,2017,2,9,1276.02
fashion_bags_accessories,2017,3,15,2160.959999999999
fashion_bags_accessories,2017,4,1,399.2
fashion_bags_accessories,2017,5,16,4208.19
fashion_bags_accessories,2017,6,15,2323.2
fashion_bags_accessories,2017,7,4,1203.36
fashion_bags_accessories,2017,8,25,5289.579999999999
fashion_bags_accessories,2017,9,33,20364.28
fashion_bags_accessories,2017,10,25,2781.8100000000004
fashion_bags_accessories,2017,11,13,2681.05
fashion_bags_accessories,2017,12,41,10496.739999999998
fashion_bags_accessories,2018,1,15,4015.71
fashion_bags_accessories,2018,2,14,4616.999999999999
fashion_bags_accessories,2018,3,40,20959.89
fashion_bags_accessories,2018,4,25,13645.529999999995
fashion_bags_accessories,2018,5,36,16026.210000000001
fashion_bags_accessories,2018,6,13,3873.9
fashion_bags_accessories,2018,7,53,14549.019999999993
fashion_bags_accessories,2018,8,21,5028.539999999999
fashion_male_clothing,2017,3,1,395.6
fashion_male_clothing,2017,4,1,127.77
fashion_male_clothing,2017,6,2,178.2
fashion_male_clothing,2017,7,1,19.04
fashion_male_clothing,2017,8,3,688.19
fashion_male_clothing,2017,10,1,17.6
fashion_male_clothing,2017,12,1,288.02
fashion_male_clothing,2018,6,1,749.9
fashion_male_clothing,2018,8,1,89.1
fashion_shoes,2017,2,1,109.82
fashion_shoes,2017,3,3,979.1999999999999
fashion_shoes,2017,4,1,150.82
fashion_shoes,2017,5,5,2086.09
fashion_shoes,2017,6,2,1640.1
fashion_shoes,2017,7,1,260.99
fashion_shoes,2017,8,1,419.9
fashion_shoes,2017,10,1,261.0
fashion_shoes,2017,11,3,1101.1399999999999
fashion_shoes,2018,1,1,261.0
fashion_shoes,2018,3,1,56.89
fashion_shoes,2018,5,1,89.99
fashion_shoes,2018,7,1,128.99
fashion_sport,2017,6,1,95.03
fashion_underwear_beach,2017,3,1,879.99
fashion_underwear_beach,2017,8,8,5536.0
fashion_underwear_beach,2017,9,8,5536.0
fashion_underwear_beach,2017,12,2,1019.98
fashion_underwear_beach,2018,4,1,692.0
fashion_underwear_beach,2018,5,2,1019.98
fixed_telephony,2017,2,1,83.36
fixed_telephony,2017,6,1,131.9
fixed_telephony,2017,10,2,313.72
fixed_telephony,2018,1,3,338.76
fixed_telephony,2018,2,6,2205.0
fixed_telephony,2018,3,1,849.5
fixed_telephony,2018,4,1,17.95
fixed_telephony,2018,5,1,23.1
