seller_id,performance,performance_score,order_count,total_sales,avg_order_value,avg_processing_time,avg_delivery_days,prediction,on_time_delivery_rate,shipping_ratio
KuAw4s0oQsrP,High,58.35,5,2297.74,459.548,0.3025532407407407,5.702553240740741,0,100.0,10.233533820188534
SyVIL3XEef0W,High,68.43,10,2235.1,223.51,0.0140868055555555,4.214086805555556,0,100.0,16.48695807793835
5GwbKiUEmaYY,High,67.6,7,2199.78,314.25428571428574,0.0124041005291005,4.298118386243386,0,100.0,17.793597541572336
RqR0xDzYYMMJ,High,69.7,5,2164.73,432.946,0.007324074074074,5.207324074074074,0,100.0,9.123539656215787
1WLscp8MQxbC,High,65.63,4,2131.96,532.99,0.0115219907407407,4.511521990740741,0,100.0,6.504812473029513
DWDoCyFGBOAg,High,63.88,1,2130.0,2130.0,0.0055324074074074,6.005532407407407,0,100.0,2.32112676056338
EfrTKO2PD11W,High,70.97,9,2108.79,234.31,0.0081738683127572,5.008173868312757,0,100.0,13.274911205003818
rdZiZfo5IvRc,High,56.2,4,2070.6,517.65,0.3256828703703703,5.82568287037037,0,100.0,11.654592871631412
Qm0LXW0ynBxf,High,58.0,3,2064.4,688.1333333333333,0.2069367283950617,3.873603395061728,0,100.0,5.078473164115482
xaLgBgfNFMTD,High,66.15,9,2057.33,228.5922222222222,0.0222222222222222,4.355555555555556,0,100.0,23.038112505042946
HuJAPVPJCTBd,High,66.86,7,2005.7,286.5285714285714,0.0131134259259259,5.298827711640212,0,100.0,6.532382709278556
UkoMXv8t9TKP,High,66.07,9,1982.97,220.33,0.0214776234567901,5.02147762345679,0,100.0,15.411730888515713
BR2mWExUYwlW,High,68.08,6,1974.74,329.1233333333333,0.0096064814814814,5.009606481481481,0,100.0,6.131440088315424
VPwNYrbDJG2Z,High,63.39,9,1966.16,218.46222222222224,0.1255979938271605,5.014486882716049,0,100.0,23.967530618057534
jUUYzsfti2iR,High,56.94,9,1963.8,218.2,0.4232600308641975,4.423260030864197,0,100.0,11.856095325389552
ToGx1gWc17Gc,High,57.44,14,1955.8,139.7,0.4751347552910053,4.260849041005291,0,100.0,19.928418038654257
TRcQ55ynAFlI,High,63.98,11,1925.12,175.01090909090908,0.1328566919191919,4.587402146464647,0,100.0,14.536236702127662
vPU858bFmYdO,High,68.4,7,1924.49,274.9271428571429,0.0096197089947089,4.581048280423281,0,100.0,10.77064572951795
h7YgJqGa98bH,High,61.24,3,1922.61,640.87,0.0288348765432098,5.362168209876543,0,100.0,4.377902954837435
EYkrataHinED,High,67.45,6,1880.0,313.3333333333333,0.0101157407407407,5.510115740740741,0,100.0,10.355851063829787
