product_category_name,order_year,order_month,order_count,total_sales
fixed_telephony,2017,6,1,131.9
cool_stuff,2018,6,43,9104.69
garden_tools,2017,6,44,8260.179999999998
home_confort,2018,1,3,1007.97
construction_tools_lights,2018,2,2,169.37
fashion_bags_accessories,2018,1,15,4015.71
consoles_games,2017,8,17,1836.8999999999992
fashion_male_clothing,2017,12,1,288.02
party_supplies,2018,5,1,137.88
computers_accessories,2018,7,1721,681319.020000007
cool_stuff,2017,3,354,30951.359999999844
fixed_telephony,2017,10,2,313.72
stationery,2017,8,15,10544.24
books_general_interest,2017,11,8,784.6
consoles_games,2018,1,15,1981.0699999999997
watches_gifts,2017,4,29,2876.0200000000027
air_conditioning,2017,1,1,93.55
electronics,2017,8,12,882.1300000000001
kitchen_dining_laundry_garden_furniture,2017,3,1,387.0
sports_leisure,2017,6,372,62638.98999999995
dvds_blu_ray,2017,3,1,181.56
pet_shop,2017,3,5,279.15
fashion_shoes,2017,10,1,261.0
musical_instruments,2017,9,2,794.9499999999999
computers,2018,4,9,9503.099999999999
sports_leisure,2018,8,191,54885.34999999997
fashion_bags_accessories,2018,5,36,16026.210000000001
watches_gifts,2018,8,337,297911.96999999776
books_general_interest,2017,10,4,612.56
small_appliances,2017,12,6,195.32
baby,2017,11,100,48427.33000000001
watches_gifts,2017,11,396,131823.52999999974
office_furniture,2018,4,186,25101.989999999972
musical_instruments,2018,6,11,4960.8099999999995
perfumery,2018,2,83,10141.910000000007
fashion_bags_accessories,2017,3,15,2160.959999999999
books_general_interest,2018,8,8,1997.1999999999998
agro_industry_and_commerce,2018,6,2,290.64
watches_gifts,2017,1,2,1137.9
auto,2017,10,9,3547.72
watches_gifts,2017,6,224,15552.769999999979
fashion_shoes,2017,8,1,419.9
toys,2018,9,4,621.6
air_conditioning,2017,11,1,517.65
art,2018,3,1,314.8
dvds_blu_ray,2017,12,1,849.5
bed_bath_table,2018,4,347,61303.98
watches_gifts,2018,7,662,223053.2099999984
food_drink,2018,3,1,44.95
pet_shop,2017,8,54,7636.109999999999
housewares,2017,6,82,17989.140000000003
home_construction,2017,10,6,2069.04
home_confort,2018,8,2,210.35
party_supplies,2018,7,1,86.32
fashion_sport,2017,6,1,95.03
perfumery,2017,4,69,9168.390000000009
sports_leisure,2018,1,259,46490.19000000006
perfumery,2017,7,172,20010.879999999994
bed_bath_table,2018,7,186,52677.290000000154
housewares,2017,1,28,2069.200000000001
cool_stuff,2017,10,205,31689.41000000011
bed_bath_table,2017,7,163,22949.169999999995
office_furniture,2018,3,226,97449.39999999997
stationery,2017,6,14,8714.339999999998
signaling_and_security,2018,7,2,896.49
toys,2018,8,15569,5583898.980000005
pet_shop,2017,9,36,6986.640000000005
telephony,2017,4,71,175298.91000000003
health_beauty,2017,3,736,123363.7399999998
food,2017,3,10,1076.3
musical_instruments,2018,1,5,3916.1899999999996
home_confort,2018,7,1,128.99
bed_bath_table,2017,4,164,53570.87999999998
home_appliances,2018,5,2,63.52
bed_bath_table,2018,6,372,91441.40000000042
fashio_female_clothing,2017,3,1,42.89
auto,2018,3,131,42262.22000000007
stationery,2017,11,62,12844.390000000007
cool_stuff,2017,7,778,118264.96000000041
christmas_supplies,2017,10,1,692.0
baby,2017,4,13,7330.34
signaling_and_security,2018,2,1,145.2
la_cuisine,2017,7,1,91.33
health_beauty,2018,1,2646,498285.9800000095
electronics,2017,12,83,7752.360000000013
pet_shop,2018,3,30,10980.939999999991
garden_tools,2017,7,510,329758.2899999998
audio,2018,5,28,4185.839999999997
food,2017,6,5,538.15
books_technical,2018,4,12,630.88
furniture_decor,2017,2,110,108959.68
bed_bath_table,2017,5,108,22882.620000000024
auto,2017,1,13,2695.33
computers_accessories,2017,2,36,2814.7499999999986
housewares,2017,8,122,35199.98
fashion_shoes,2017,5,5,2086.09
fashion_bags_accessories,2016,10,2,397.0
watches_gifts,2017,9,459,76626.34999999931
air_conditioning,2018,8,2,2975.56
musical_instruments,2018,4,17,1499.4900000000005
books_imported,2018,2,4,430.4
home_confort,2018,4,1,128.99
home_confort,2017,7,2,1909.35
electronics,2018,6,113,13736.98999999997
books_general_interest,2018,3,5,2948.76
christmas_supplies,2018,3,1,100.0
fashion_bags_accessories,2018,3,40,20959.89
cool_stuff,2018,5,24,3870.1499999999987
costruction_tools_garden,2018,1,1,93.5
computers_accessories,2017,4,543,78172.83000000044
food_drink,2017,12,2,10.7
toys,2017,9,15298,7392530.949999876
cool_stuff,2017,8,483,95105.73000000004
health_beauty,2017,11,4086,676020.4999999893
air_conditioning,2018,6,16,300.0400000000001
luggage_accessories,2018,4,6,6229.4
small_appliances_home_oven_and_coffee,2018,7,1,218.0
home_appliances,2018,8,3,1005.43
furniture_living_room,2017,9,3,2030.91
toys,2017,10,18708,8163895.990000074
garden_tools,2017,8,867,593704.3699999999
telephony,2018,1,338,310232.5200000003
garden_tools,2018,5,1911,6636504.450000302
housewares,2017,9,100,24998.05000000002
cool_stuff,2017,11,254,50723.28000000015
furniture_decor,2018,6,252,65739.33999999985
books_technical,2018,7,11,1594.89
stationery,2017,3,5,2124.8999999999996
kitchen_dining_laundry_garden_furniture,2018,6,2,142.5
books_technical,2017,12,3,356.96999999999997
telephony,2017,3,48,117140.13
furniture_living_room,2017,6,18,5580.180000000002
furniture_living_room,2017,1,6,2142.0
luggage_accessories,2017,7,23,4080.0299999999997
auto,2017,9,66,9567.020000000006
baby,2018,5,74,31404.849999999977
market_place,2017,4,8,81.27999999999999
audio,2018,3,32,5809.920000000003
garden_tools,2018,6,821,380431.10999999533
fashion_male_clothing,2017,4,1,127.77
office_furniture,2017,1,15,4905.0
furniture_living_room,2017,7,2,849.64
signaling_and_security,2018,6,8,336.28
fixed_telephony,2018,5,1,23.1
furniture_bedroom,2018,3,2,257.98
tablets_printing_image,2018,6,9,258.29999999999995
fixed_telephony,2018,3,1,849.5
perfumery,2018,6,20,5225.690000000001
auto,2017,11,53,9301.7
furniture_decor,2017,1,35,10593.45
costruction_tools_garden,2018,3,3,2229.88
small_appliances_home_oven_and_coffee,2018,8,1,469.99
agro_industry_and_commerce,2017,5,1,97.5
flowers,2018,2,5,3899.5
sports_leisure,2018,7,267,49175.509999999966
computers,2017,12,4,172.84
perfumery,2017,6,346,40469.25
stationery,2017,2,1,18.04
market_place,2017,8,40,3726.5599999999977
industry_commerce_and_business,2017,2,1,159.9
fashio_female_clothing,2017,6,1,395.6
books_general_interest,2017,7,4,254.0
fashion_bags_accessories,2018,6,13,3873.9
fashio_female_clothing,2017,2,1,159.9
furniture_decor,2018,1,196,72846.54
toys,2017,1,1210,361631.98000000295
construction_tools_construction,2018,1,18,2085.05
food,2018,2,1,16.44
cool_stuff,2017,1,5,3123.75
consoles_games,2017,9,2,85.78
auto,2017,6,165,24481.320000000036
musical_instruments,2017,12,13,1404.5000000000002
home_appliances,2018,4,50,4052.4799999999996
toys,2016,12,6,1295.64
housewares,2018,8,90,43266.80000000001
garden_tools,2017,12,1809,2790316.8700000606
books_imported,2017,12,12,1291.1999999999998
art,2017,10,1,59.85
watches_gifts,2017,3,1,59.7
auto,2018,8,117,26982.260000000002
housewares,2018,7,114,22481.510000000002
audio,2017,10,27,1158.0300000000002
kitchen_dining_laundry_garden_furniture,2018,3,5,312.25
furniture_decor,2017,10,93,40406.51999999999
costruction_tools_garden,2018,7,4,339.70000000000005
fashion_bags_accessories,2017,7,4,1203.36
audio,2018,1,32,1372.4800000000007
toys,2017,12,22732,13814159.490001025
musical_instruments,2017,11,15,2267.88
telephony,2017,12,386,594987.770000002
home_appliances_2,2018,4,11,2786.98
food_drink,2018,1,3,143.75
fashion_underwear_beach,2017,8,8,5536.0
food,2018,5,2,3156.6
tablets_printing_image,2017,11,9,512.01
computers_accessories,2018,2,3299,321838.7399999974
computers_accessories,2018,1,4601,610516.149999978
computers,2018,5,2,2111.8
fashion_bags_accessories,2017,11,13,2681.05
costruction_tools_tools,2018,3,15,5836.110000000002
home_construction,2018,1,3,1954.54
fashion_underwear_beach,2018,5,2,1019.98
books_general_interest,2017,1,2,57.64
home_appliances,2018,6,35,12254.929999999986
perfumery,2018,7,156,41521.38999999985
industry_commerce_and_business,2018,3,14,862.1000000000001
tablets_printing_image,2018,4,6,5279.94
fashion_male_clothing,2018,6,1,749.9
electronics,2018,7,127,8449.610000000006
books_general_interest,2018,4,1,57.89
health_beauty,2018,2,1391,254589.9599999992
bed_bath_table,2018,8,158,35019.29000000003
bed_bath_table,2017,6,138,36727.31000000003
watches_gifts,2017,2,6,802.9
flowers,2018,3,5,42.45
home_construction,2018,2,16,2381.6299999999974
office_furniture,2017,11,154,201924.49000000028
consoles_games,2016,10,1,83.36
food_drink,2018,7,1,161.0
industry_commerce_and_business,2018,5,33,1248.7200000000003
drinks,2018,1,5,579.29
construction_tools_construction,2017,12,2,1069.56
cine_photo,2017,11,1,115.2
housewares,2018,4,210,150316.34000000003
luggage_accessories,2017,10,27,4581.1900000000005
bed_bath_table,2017,11,626,124973.7700000005
drinks,2017,12,9,6177.879999999998
health_beauty,2017,2,959,126188.25000000132
garden_tools,2017,5,79,10965.019999999995
pet_shop,2018,1,14,1272.16
furniture_bedroom,2017,7,3,1093.4
kitchen_dining_laundry_garden_furniture,2018,2,1,60.09
pet_shop,2017,11,6,2212.2
home_construction,2018,8,4,176.96
fashion_bags_accessories,2017,10,25,2781.8100000000004
agro_industry_and_commerce,2017,2,1,48.99
fashion_bags_accessories,2018,2,14,4616.999999999999
small_appliances,2017,3,14,12201.240000000002
